SL No,Customer Type,Customer Name,About Customer,Industry,Service Area,Project/Case Study Title,Short Description,Key Words,Tech Stacks,SharePoint Link
112,isv,allways health partners (awhp) now mass general brigham health plan,"client�is�an insurance company that provides various health plan programs, claim and risk management services.",insurance,product engineering,intranet portal development,"client had no integrated workspace of their workflows and also lacked the enterprise content management which lead to incorrect and uninformed decisions. hence, it was looking to have an automated workflow process that would enhance employee communication & collaboration. for this, nitor developed an intranet platform which streamlined various disparate processes and workflows like leave management, help desk, training management , enterprise project management. this helped the client with having a central place for employee collaboration & communication from departments like hr, admin, operations & finance.","integrated workspace, workflow automation, employee communication & collaboration, disparate processes, intranet platform/portal, hr, admin, operations and finance",microsoft sharepoint,sn112_mass general brigham health plan (allways health partners)_case study_intranet portal development.pptx
113,isv,allways health partners (awhp) now mass general brigham health plan,"client�is�an insurance company that provides various health plan programs, claim and risk management services.",insurance,data engineering,covid19 tracker dashboard,"client, being a payer, was worried by covid 19 pandemic and  wanted to develop a dashboard to keep track of few parameters like supected covid 19 members amongst the enrolled ones, members getting tested for it, monitoring the count of confirmed members, etc. hence, nitor developed a dashboarding solution using microsoft's power bi tool that helped the client track the above parameters by capturing the data from multiple data sources like ods data warehouse (for claims information), excel (for authorizations submitted), ods multi-dimensional cube (for extracting members' information required for authorization).","dashboarding solution, data sources, data warehouse","microsoft power bi, microsoft sql server database, microsoft sql server analysis services, microsoft excel",sn113_mass general brigham health plan (allways health partners)_case study_covid19 tracker dashboard.pptx
114,isv,allways health partners (awhp) now mass general brigham health plan,"client�is�an insurance company that provides various health plan programs, claim and risk management services.",insurance,web & mobile application development,portal for the healthcare insured users,"client wanted to have a unified and centralized portal to empower the insured users with the personal health information for tracking benefits, policies and coverage. hence, nitor developed a web-based solution that provided single sign-on for the consumer to display the most relevant cards each time the consumer logged in. the display of cards was dependent on the relevance at that point in time. the cards consisted of immunization, test schedule, insurance renewal, and many more. our team also integrated multiple wearable devices where one of them was the pedometer (measure of no. of steps walked) integration with fitbit, jawbone, and withings. this helped the client in increased customer engagement exponentially.","personal health information, web-based solution, single sign-on, immunization, test schedule, insurance renewal, wearable devices, customer engagement",".net 4.5 wcf, jquery, oracle 11g, html 5, css 3, later the application was extended to android and ios 6 and 7",sn114_mass general brigham health plan (allways health partners)_case study_portal for the healthcare insured users.pptx
115,isv,allways health partners (awhp) now mass general brigham health plan,"client�is�an insurance company that provides various health plan programs, claim and risk management services.",insurance,application enhancement,medicare advantage enrollment process,client wanted to have an enrollment placeholder for its sales agents in their product where they can reach out to end users for health plans. nitor developed a custom functionality to submit the enrollee information in eaf format with automation. we also introduced power pages to accept the self-service enrollment form for end users. this helped the client with reduced manual intervention due to multiple automation and user-friendly interface.,"enrollment placeholder, health plans, eaf & eam format, self-service enrollment, manual intervention, automation","dynamics crm, html, css, javascript / jquery, power automate, xrm tool kit, visual studio, microsoft power pages",sn115_mass general brigham health plan (allways health partners)_case study_medicare advantage enrolment process.pptx
116,isv,allways health partners (awhp) now mass general brigham health plan,"client�is�an insurance company that provides various health plan programs, claim and risk management services.",insurance,mobile app,dynamics commercial model,"client was looking to have stage-wise notifications to its business stakeholders with multi-attribute filtering & searching. nitor successfully implemented custom search functionality across various crm properties of an entity for adding and updating of crm data, simplifying data management. we also implemented business process automation to streamline notifications, ensuring timely and efficient communication.","notifications, business stakeholders, custom search functionality, crm data, data management, business process automation","dynamics crm, xrm tool kit, visual studio, power automate,html, css  javascript / jquery ",sn116_mass general brigham health plan (allways health partners)_case study_dynamics commercial model.pptx
117,isv,accomodation plus international,client offers accomodation management solutions for the crew members of multiple airlines,hospitality,devops,devops implementation,"client was facing deployment issues for their product as they were doing it completely manually which was too much time consuming. hence, nitor did an initial assement and implemented one-click deployments to make developers to deploy the application on testing servers much easier and save them a lot of time.","deployment issues, manual deployment, one-click deployment","gitlab, ansible, aws, kubernetes, sonatype nexus, grafana",sn117_accommodation plus international_case study_devops implementation.pptx
118,isv,accomodation plus international,client offers accomodation management solutions for the crew members of multiple airlines,hospitality,devops,continuous integration / continuous deployment,client wanted to move from aws to azure with regular server deployment model to continuous integration & continuous deployment model. nitor setup the whole application workflow by building docker images and built the whole containerization of apps and management of clusters using kubernetes over azure container service. the flow addition of building container apps was done using jenkins.,"cloud migration, continuous integration & continuous deployment model, containerization","aws, azure, jenkins, docker, kubernetes",sn118_accommodation plus international_case study_continuous integration - continuous deployment implementation.pptx
119,isv,accomodation plus international,client offers accomodation management solutions for the crew members of multiple airlines,hospitality,devops,disrupted passengers � support and management,"client was facing certain challenges like manual process of calling & booking the rooms for disrupted passengers, delay in refunds, tracking accommodation availability, absence of invoice-based booking confirmation, etc. hence, nitor partnered with the client and developed a minimal viable product (mvp) that tackled all these challenges in timely manner. we then expanded and enhanced this mvp into a comprehensive product, incorporating a highly efficient booking algorithm integrated into the dpax (disrupted/distressed passenger) system.","disrupted/distressed passengers (dpax) system, accomodation, room booking, minimal viable product (mvp), invoice-based booking","angular 11, bootstrap, html5, css, ngrx,�jasmine, karma java 8, spring boot, spring jpa, jaspersoft, jsf, junit, sendgrid rds aurora, dynamodb aws (ec2, rds, sns, sqs, api gateway, cognito, alb, vpc, subnet, nat gateway) ci/cd, source control: bitbucket, jenkins, archiva, ansible, nexus repo",sn119_accommodation plus international_case study_disrupted passengers � support and management.pptx
120,isv,accomodation plus international,client offers accomodation management solutions for the crew members of multiple airlines,hospitality,data engineering,mdm and analytics platform,"client has disparate data sources from multiple departments like finance, scm, salesforce, it, operations, etc. to update its master data which results in redundancy and in consistency of data. hence, nitor developed an enterprise-level data warehousing solution and implemented master data management by providing self-service bi platform for streamlining the data loading, data cleansing, perform elt  and developing data pipelines to provide the client with single source of data for analysis","master data management, data warehousing, self-service bi platform, elt, data pipelines, data analysis","salesforce, sap, xml, soap",sn120_accommodation plus international_case study_mdm and analytics platform.pptx
121,isv,accomodation plus international,client offers accomodation management solutions for the crew members of multiple airlines,hospitality,application enhancement,revolutionized rfp platform for the hotel procurement process for crew segment,"client had an rfp process platform which had issues in its multi-lingual feature along with incorrect display of data. hence, nitor enhance the platform using java & angular and solved the issue of multi-linguality along with cross-platform compatibility. we also redesigned the ui of the platform with streamlined features to make the rfp process easy to understand","rfp, multi-lingual cross-platform compatibility, ui","angular, html, jasmine,�karma, java 8, postgre sql, aws",sn121_accommodation plus international_case study_revolutionized rfp platform.pptx
122,isv,accomodation plus international,client offers accomodation management solutions for the crew members of multiple airlines,hospitality,data engineering,data fusion - unifying heterogeneous data sources,"client wanted to have serverless architecture from aws cloud and consolidate the data spread across multiple sources like mysql, salesforce, s3 files, etc. they also wanted to migrate reporting platforms from different tools to power bi. nitor designed a dimensional model & developed data pipelines using aws glue to perform elt & cleansing of inconsistent data. we also implemented saas model of power bi as a reporting solution","serverless architecture, cloud, reporting platform migration, data pipelines, data cleansing, reporting solution","angularjs, c#, powerbi, aws aurora db, mysql.�aws aurora db, mysql, aws (glue,  s3), azure python, pyspark, sonicwall net extender, dbeaver ",sn122_accommodation plus international_case study_data fusion - unifying heterogeneous data sources.pptx
123,isv,accomodation plus international,client offers accomodation management solutions for the crew members of multiple airlines,hospitality,mobile application development,airline crew care mobile application,"client wanted to develop a mobile application for its crew members so they can view their own specific itineraries, access ground transportation, view details of their accomodation, etc. nitor developed a complete prototype of the mobile application using adobe xd and the ui of the application was designed using flutter","mobile application, crew members, itineraries, prototype, uiux","flutter, asp.net mvc, playwright, azure devops, app center, appium, http, nunit",sn123_accommodation plus international_case study_airline crew care mobile application.pptx
124,isv,wellsky,client offers powerful patient engagement technology that helps patients and their families communicate with providers when and where it is convenient.,healthcare,application modernization,python django to lambda & aws cloud native migration,client wanted to migrate its existing application from monoloithic architecture to serverless architecture. nitor helped the client by migrating the application to aws serverless lambda using fucntions like app sync and kinesis streams. this helped the client in increased application performance and ease of maintenance & enhancement,"modernization, monolithic architecture, serverless architecture, application performance","old: python, django, jquery, css, html, javascript, aws lambda new: aws dynamodb, appsync, kinesis, glue, firehose, react.js, amplify",sn124_wellsky_case study_python django to lambda & aws cloud native migration.pptx
125,isv,wellsky,client offers powerful patient engagement technology that helps patients and their families communicate with providers when and where it is convenient.,healthcare,application modernization,aws serverless architecture (modernization),"client wanted to modernize their python, django, saas-based web app to minimize the heavy usage of docker and kubernetes in existing architecure and reduce the cost. hence, nitor built a rapid prototype using aws serverless services such as aws lambda, dynamodb, auroradb, emr, appsync and amplify.","web application modernization, serverless services, prototype building, architecture","react, python 3.7, aws lambda, dynamodb, aurora, appsync, amplify, cloudfront glue, emr, redshift, looker",sn125_wellsky_case study_aws serverless architecture (modernization).pptx
126,isv,wellsky,client offers powerful patient engagement technology that helps patients and their families communicate with providers when and where it is convenient.,healthcare,data engineering,data migration ,"client was dealing with huge amount of customers data from different geographies of aws and so wanted data migration to be completed in fixed duration. hence, nitor developed a serverless architecture including decoupling of events/messaging and utilizing access control lists (acl) to provide cross region access control for cross region data transfer.","data migration, serverless architecture, cross region access control & data transfer ","aws glue (for export/import data), secret manager (for passwords), lambda (for triggering glue jobs), aws s3, aws eks, access control lists (acl)",sn126_wellsky_case study_data migration.pptx
127,isv,wellsky,client offers powerful patient engagement technology that helps patients and their families communicate with providers when and where it is convenient.,healthcare,data engineering,"home care, agencies , family� and caregiver portal","client was facing issues in managing operations, caregiver scheduling & payment for caregiver services and so, they were looking for a portal across web & mobile. nitor developed the portal using react & python that helped the client in resolving the above issues along with improved time to market.","caregiver scheduling & payment, web & mobile portal, time to market","python django, ui - react js, db � graphql, postgres, aws","sn127_wellsky_case study_home care, agencies, family�and caregiver portal.pptx"
128,isv,wellsky,client offers powerful patient engagement technology that helps patients and their families communicate with providers when and where it is convenient.,healthcare,mobile application development,mobile application for caregivers�and agency�,"client was looking for a mobile application that would solve real-time problems of caregivers and admins along with better user experience. hence, nitor analyzed & built a mobile application that supported offline access & automatic data synchronization once the users comes back online. we also developed features like covid forms and clock in/out using gps mobile for the application users.","mobile application, caregivers, offline access, automatic data synchronization, covid forms, clock in/out, gps mobile","react native, graphql, postgres sql",sn128_wellsky_case study_mobile application for caregivers�and agency�.pptx
129,isv,wellsky,client offers powerful patient engagement technology that helps patients and their families communicate with providers when and where it is convenient.,healthcare,data engineering,graphql api test automation�� home care,"client was looking for an api automation of profile management, billing systems, invoices, etc. hence, nitor developed an api automation framework where we automated 200+ scenarios in 15 days. this helped the client in covering 90% of workflows thus saving manual testing efforts and also improved the turn around time (tat) on quality of releases",api automation framework,"python, cucumber.io (hiptest), jira, jenkins, python , grpahql api",sn129_wellsky_case study_graphql api test automation�� home care.pptx
130,isv,wellsky,client offers powerful patient engagement technology that helps patients and their families communicate with providers when and where it is convenient.,healthcare,tcoe,python bdd test automation � home care,"client wanted to build a testing framework by implementing behaviour driven development to support collaboration between manual testers & automation engineers. nitor developed & institutionalized cypress framework that operationalized processes between test management system (hiptest), defect management system (jira), and ci system (jenkins). we also inducted parallelization in execution mode to reduce run time from 10 hours to 4 hours for 200+ tests. this framework proved beneficial to the client by covering 70% of the workflows which saved huge manual testing efforts.","testing framework, behaviour driven development, test management system, defect management system, ci system, run time reduction","�python, selenium, bdd, cucumber.io (hiptest), jira, jenkins, sauce lab reactjs, python",sn130_wellsky_case study_python bdd test automation � home care.pptx
131,isv,wellsky,client offers powerful patient engagement technology that helps patients and their families communicate with providers when and where it is convenient.,healthcare,data engineering,real-time analytics for home care agencies,"client wanted to have a real-time analytics platform to analyse important business metrics and kpis like operations, care & payments. therefore, nitor developed a gcp big query-based data warehouse solution where we deduplicated the data from the base table using big query scheduled queries and created the view-based logical layer for respective entities. we also developed sisense-based analytics layer including dashboards, reports, and scorecards. this helped the client with more insights into the availability of the caregivers to respond to service requests from patients and into spend analysis on the caregivers in terms of their expenses as well","real-time analytics platform, big query, data warehouse, data deduplication, reports, dashboards, scorecards","python, sisense, google cloud storage, github actions, gcp big query, gcp pub/sub , terraform, aws lambda",sn131_wellsky_case study_real-time analytics for home care agencies.pptx
132,isv,symphony ai (retail & cpg),"client is the only provider of end-to-end, integrated ai-powered merchandising, marketing and supply chain solutions, for retailers and cpg manufacturers",software development,application modernization,retail analytics solution � application modernization,the client was looking to modernise its core retail product which was earlier built using costly legacy reporting tool and save the licensing cost as well. nitor modernized the application by converting their logi-based product reporting modules into latest angular based web application in multiple stages. we also implemented intuitive ux design considering mobile first approach with modern look & feel. thus client svaed huge costs on redeveloping separate applications.,"application modernization, retail product, legacy reporting tool, web application, ux design, mobile first approach","old: logi, html, javascript, new: angular 8, html, css, typescript, kendo \ highcharts, azure sql, azure cloud",sn132_symphony ai retail & cpg_case study_retail analytics solution � application modernization.pptx
133,isv,symphony ai (retail & cpg),"client is the only provider of end-to-end, integrated ai-powered merchandising, marketing and supply chain solutions, for retailers and cpg manufacturers",software development,data engineering,retail analytics solution � data architecture modernization ,"client's existing architecture was not scalable to manage, store and analyze huge volume of data due to the client's increasing customer base. hence, nitor modernized the design of the data warehouse architecure using using horizontal scalability and parallel processing dataware house technology. we designed configuration driven etl framework using talend etl to onboard retailer�s data in minimal time and hosted the data warehouse on yellow brick and netezza data warehouse.","data architecture modernization, data warehouse, etl framework, ","talend etl, azure sql, azure data factory, netezza & yellowbrick, redis cache, azure blob storage, spark, power bi, .net & angular, high charts, azure cosmosdb, kafka, python & r",sn133_symphony ai retail & cpg_case study_retail analytics solution � modernized data platform.pptx
134,isv,symphony ai (retail & cpg),"client is the only provider of end-to-end, integrated ai-powered merchandising, marketing and supply chain solutions, for retailers and cpg manufacturers",software development,devops,devops implementation,"client was facing certain issues with its product like longer time to release the software updates causing severe bugs that affected operations, lack of optimization of production environment, and performance & scalability issues hampering the product delivery. hence, nitor devised a 3-phase devops implementation roadmap where the 1st phase included reviewing current setup and establishing devops architecture. the 2nd phase included implementing pocs and actual implementation while the 3rd phase included continuous tracking of the metrics and reviewing the future requirements.","performance & scalability issues, devops implementation, devops architecture, pocs implementation","git, jenkins, maven, junit, selenium, testlink, jira, chef, grafana,  kubernetes",sn134_symphony ai retail & cpg_case study_devops implementation.pptx
135,isv,symphony ai (retail & cpg),"client is the only provider of end-to-end, integrated ai-powered merchandising, marketing and supply chain solutions, for retailers and cpg manufacturers",software development,"product engineering, ml",digital age promotion analytics and planning,"client wanted to develop a product to plan & predict performance of customer promotions based on the historical data. nitor developed a microsoft azure based product supported by .net framework where users could analyse their impact on sales, volume and profit with the help of inbuilt forecasting algorithm. we implemented dynamic forecast generation based on tactics of historical data using machine learning. this helped the client with increased promotion sales by 30% and achieve 3x+ growth in revenue due to accurate promotion planning.","customer promotions, forecasting algorithm, dynamic forecast generation, historical data, machine learning","microsoft azure, .net, angular 5, azure cosmos db, azure sql",sn135_symphony ai retail & cpg_case study_digital age promotion analytics and planning.pptx
136,isv,symphony ai (retail & cpg),"client is the only provider of end-to-end, integrated ai-powered merchandising, marketing and supply chain solutions, for retailers and cpg manufacturers",software development,application development,retail analytical conversational insights platform ,"client wanted to bring all insights at one place with efficient performance and world class user experience for category managers & above. therefore, nitor developed a architecture by using ai algorithms & integrated multiple analytical components based on domain, target audience and usage. the architecture was designed considering user experience, time requirement, scalability and performance. this helped the client with effective handling of enormous data sets and improved user experience.","user experience, ai algorithms, analytical component integration, scalability, data sets","angular, kendo ui framework, npl powered by google, high charts, d3, amazon polly, sql, 1010data, bootstrap 3",sn136_symphony ai retail & cpg_case study_retail analytical conversational insights platform.pptx
137,isv,symphony ai (retail & cpg),"client is the only provider of end-to-end, integrated ai-powered merchandising, marketing and supply chain solutions, for retailers and cpg manufacturers",software development,application development,tle and cms 1.0,"client wanted a platform to implement new ideas in selected stores to achieve more growth and analyse the impact. nitor designed a simple and intuitive solution which enables users to conduct tests in selected stores and analyze its impact by comparing the sales and other metrics with other stores where test was not conducted. we provided logi analytics expertise in planning components based on domain, target audience and usage.","idea implementation, retail stores, test conduction, sales","azure, .net framework, javascript, sql server, logi analytics, durandal.js",sn137_symphony ai retail & cpg_case study_tle and cms 1.0.pptx
138,isv,symphony ai (retail & cpg),"client is the only provider of end-to-end, integrated ai-powered merchandising, marketing and supply chain solutions, for retailers and cpg manufacturers",software development,application development,joint business planning,"client wanted to have a platform for retailers and manufacturers to do next-level planning by the management based on historical insights, including workflows for approvals. nitor developed a platform with multiple dashboards by using logi analytics to provide graphical analysis of historical data. we integrated the platform with 1010data for live tracking of activities and tasks.","platform for retailers and manufacturers, historical data & insights, dashboards, graphical analysis, live tracking of activities and tasks","angular 4, logi analytics, web api, sql, 1010data",sn138_symphony ai retail & cpg_case study_joint business planning.pptx
139,isv,symphony ai (retail & cpg),"client is the only provider of end-to-end, integrated ai-powered merchandising, marketing and supply chain solutions, for retailers and cpg manufacturers",software development,"analytics, ai/ml",retail analytics - store item forecasting,"client's traditional assortment planning technique suffers from poor sales, greater over-and-under-stocking, and increased customer churn rates due to inconsistent data, and complex prediction models. nitor developed a forecasting model which which establishes relationship between product/store attributes and its avg sales using supervised learning algorithms by ensuring proper statistical and data processing methods to clean the data. we used sota library lime to explain model predictions, which explained the reason behind the output.","assortment planning technique, customer churn rates, forecasting model, statistical & data processing methods, data cleansing","python, yandex catboost, azure, evidentlyai, local intererable model ahnostic explanation",sn139_symphony ai retail & cpg_case study_retail analytics - store item forecasting.pptx
140,isv,symphony ai (retail & cpg),"client is the only provider of end-to-end, integrated ai-powered merchandising, marketing and supply chain solutions, for retailers and cpg manufacturers",software development,application development,retail analytics platform,"client wanted to extend its reporting & analytics capabilities to empower end users like retailers, manufacturers & suppliers to unearth business insights faster and with a minimum of hands-on configuration from their own data and make effective decisions using data-driven analytics to support business growth using power bi (visualizations). nitor built power bi-based reporting platform embedded using power bi apis in angular web application. this helped the client identify driving/impacting factors, growth/pain areas and take data-driven & effective business decisions.","reporting & analytics capabilities, business insights, data-driven analytics, reporting platform","azure sql, sql server analysis services (ssas), azure data factory, netezza mpp. sql server reporting services (ssrs), power bi, angular & .net",sn140_symphony ai retail & cpg_case study_retail analytics platform.pptx
141,isv,symphony ai (retail & cpg),"client is the only provider of end-to-end, integrated ai-powered merchandising, marketing and supply chain solutions, for retailers and cpg manufacturers",software development,feature development,build an easy-to-use interface and experience,"the client wanted to build a specific feature to mine the customer data to find patterns or segments and create customer buyer groups (cbgs) to execute promotions and personalized marketing plans on those groups. nitor developed a very easy to use and a simple drag and drop canvas-based solution for the business users to build complex queries for data retrieval and usage with minimum effort. as a result of this, the customer was able to quickly deploy the feature and gain valuable revenue.","feature development, customer buyer groups (cbgs), promotions and personalized marketing plans, drag and drop canvas-based solution, data retrieval","adobe xd, mockflow, balsamiq",sn141_symphony ai retail & cpg_case study_built an easy-to-use interface and experience.pptx
142,isv,symphony ai media,"client is the leader of saas-based solutions that deliver actionable content, customer, and distributor insights for today's digital publishers.",software development,application enhancement,ui modernization of the legacy application,"client wanted to modernize the ui of their legacy user manual application which had complex functionalities to match with their latest branding strategy. therefore, nitor modernized a total of 132 ui screens in just 6 weeks and enhanced the entire application for better user experience.","legacy application modernization, ui modernization, application enhancement, ui screens","old: angular.js 1.4, javascript, sql server, iis new: angular 8, typescript, azure sql server, azure app service",sn142_symphony ai media_case study_ui modernization of the legacy application.pptx
143,isv,symphony ai media,"client is the leader of saas-based solutions that deliver actionable content, customer, and distributor insights for today's digital publishers.",software development,data engineering,"data ingestion, cloud paas ",client wanted to have a data warehouse with common data service layer to work with the data agrregated from disparate data sources. nitor built an enterprise-level data warehouse solution and developed data integration process to perform elt & cleansing of inconsistent data from different source systems to have a single source of truth. we brought in row-level security to achieve data security in power bi. this helped the client to identify hidden critical information like subscriber's churn and the revenue projection.,"data warehouse, data service layer, elt, data inconsistency, data security, data integration","msbi suit, azure data factory, azure data lake, power bi, azure database, azure databricks","sn143_symphony ai media_case study_data ingestion, cloud paas.pptx"
144,isv,symphony ai media,"client is the leader of saas-based solutions that deliver actionable content, customer, and distributor insights for today's digital publishers.",software development,application enhancement,bnc server integration,"client wanted to enhance the capability of its revenue management saas web application to allow admin users to select signals for authorization & deauthorization and the other users should be able to track the status of authorization / deauthorization. therefore, nitor established a site-to-site vpn tunnel between the bnc server and web application and hosted software on bnc server and perform the allocation or de-allocation of tiers from a headend location.","revenue management web application, authorization & deauthorization","java - azure function app, service bus, sql db, s2s vpn gateway",sn144_symphony ai media_case study_bnc server integration.pptx
145,isv,symphony ai media,"client is the leader of saas-based solutions that deliver actionable content, customer, and distributor insights for today's digital publishers.",software development,web application development,development of audit portal,"customer wanted to develop a web portal for audit which will help the auditor by providing title mapping suggestions and learning from previous mappings. nitor developed an audit portal that could enable the auditor to view audit findings & reports, send email notifications, etc. this helped the auditor in reviewing subscriber counts and allocate variances, show variance by rate, scubriber & non-payment, etc.","auditing web portal, findings & reports, email notifications",".net, azure, custom reports and powerbi, sql dw, adf-based etl",sn145_symphony ai media_case study_development of audit portal.pptx
146,isv,symphony ai summit,client is an enterprise-class software suite that effortlessly brings service and it asset management together in one platform with ai-driven it management suite.,software development,mobile application development,`mobile application development using flutter framework,client's current application was having serious performance issues due to single page application developemnt and so was looking to revamp it by supporting both ios and android with high performance and ui enhancements. nitor initially created a mvp for the customer using flutter to showcase the performance benefits and long-term needs and then worked on developing a full-blown application with extensive performance benefits.,"mobile application development, performance issues, single page application, mvp","flutter, dart, ide � visual studio",sn146_symphony ai summit_case study_mobile application development using flutter framework.pptx
147,isv,symphony ai summit,client is an enterprise-class software suite that effortlessly brings service and it asset management together in one platform with ai-driven it management suite.,software development,product engineering,product modernization for itsm,"client wanted to redesign its current itsm application and build it as a platform with low code, modern ui/ux, host on azure, etc. nitor developed a microservices based architecture where we covered 18 different components needed to host an appplication on azure. this benefitted the client with better application performance, scalability, modern ui/ux and fully responsive web application","itsm applcation, low code platform, modern ui/ux, cloud hosting, performance, scalability, microservices-based architecture, responsive web application","angular, .net core, mssql, mysql or mariadb, primng controls for angular, azure service bus, polly (fault tolerance), azure serverless for http hosting, twilio sdk for notifications, aks, azure cache for redis, azure api gateway, azure key vault, azure container registry, azure storage services",sn147_symphony ai summit_case study_product modernization for itsm.pptx
148,isv,concertai,client is a developer of medical research tool suite intended to design and deliver care-based oncology research and data analytics.,software development,data engineering,bio pharma - data engineering and data testing ,client wanted nitor to validate their data correctness and completeness between the source and bi reports along with functional & ui enhancements in bi reports. nitor validated if correct data is loaded in feed schema tables from source files and built power bi reports by verifying the calculations to showcase accurate figures based on strong sql and aas logic.,"data correctness & completeness, bi reports","xray, aws, cypress, javascript, bi reports ,aas, sql, angular",sn148_concertai_case study_bio pharma - data engineering and data testing.pptx
149,isv,caradvise,client�is the nation's leading online platform for automotive maintenance and repair services.,automotive,mobile app,cross platform carcare mobile application ,"client was looking for developing an online car care platform with payment gateway, real-time monitoring support & chat features. nitor developed the platform using react native & expo and helped the client with 60% reduction in time-to-market with hybrid framework.","application development, payment gateway, real-time monitoring support, chat, hybrid framework","react native and expo, typescript, github actions, aws and api built using ruby on rails",sn149_caradvise_case study_cross platform carcare mobile application.pptx
150,isv,caradvise,client�is the nation's leading online platform for automotive maintenance and repair services.,automotive,security testing,security testing of carcare application,"client wanted to perform security testing on its mobile application that stores sensitive information of its end users and processes it to get meaningful data. therefore nitor expert security testing team carried out vulnerability assessment & penetration testing using tools such as zap, burp suite, etc. which prevented the cyber attacks by 70-90% and ensured ensurethat the product is more secure and thereby enhancing end-user confidence in using th product","security testing, vulnerability assessment, penetration testing","react native, typescript, ruby on rails, nmap, burp-suite, mobsf, jadx",sn150_caradvise_case study_security testing of carcare application.pptx
151,isv,caradvise,client�is the nation's leading online platform for automotive maintenance and repair services.,automotive,devops,devops implementation for payment gateway integration,the client was seeking to automate deployments of infrastructure via infrastructure as code (iac )tools for scale up and scale down of infrastructure along with automation of entire app building deployment procedure. nitor performed automated infrastructure management with terraform as iac and gitlab ci/cd. this benefitted the client with seamless app distribution to app store & play store,"deployment automation, infrastructure as code (iac), infrastructure management","react native and expo, gitlab ci/cd, aws, terraform ",sn151_caradvise_case study_devops implementation for payment gateway integration.pptx
152,isv,caradvise,client�is the nation's leading online platform for automotive maintenance and repair services.,automotive,mobile app,carcare mobile application & fleet management portal,"client wanted to build a platform for total fleet management to keep the track of vehicle maintenance approve all services & payments online, etc. nitor developed the portal with features like fleet uploading, appointment booking, online payment, maintenance reminders, etc. ","fleet management, vehicle maintenance, fleet uploading","react native and expo, typescript, github actions, aws and api built using ruby on rails",sn152_caradvise_case study_carcare mobile application & fleet management portal.pptx
153,isv,gimmal,a software company that specializes in information governance and records management solutions.,information technology,sharepoint,record management solution,"we created a web-based sharepoint record management application, allowing the client to access vital business information from any location using standard web browsers. this solution offers a unified view of all records under management, simplifying access and eliminating the need for navigating multiple locations","sharepoint, web app, office 365","office 365, sharepoint online, file shares, opentext | documentum, ibm filenet",sn153_gimmal_case study_record management solution.pptx
154,isv,cognex,a global leader in machine vision and industrial barcode reading,industrial automation,product engineering,platform development for a local device controller,"the objective was to provide the client�s development team and domain experts with a consistent starting point for developing their customized applications. nitor helped develop a platform for a local device controller to manage camera readers within a local area network. through the provided solution, device reports were made in just seconds which took considerable time while preparing manually.",,,sn154_cognex_case study_platform development for a local device controller.pptx
155,isv,compex legal,a leading provider of comprehensive legal support services,legal services,data engineering,medical text summarization,"client was manually reviewing medical records to�understand the chronology of medical-related events to justify the sanction of the�cover amount for a particular individual which was very time-consuming. nitor deployed a solution which significantly contributed to improving the efficiency of information extraction from medical charts, benefiting the client's loan processing operations and reduce the time in manual document processing","python, aws, medical records","python, aws, yolo, google bert, opencv",sn155_compex legal_case study_medical text summarization.pptx
156,isv,antuit.ai,a global leader who provides forecasting solutions based on historic datasets,information technology,data engineering,retail forecasting platform�,"the client's objective was to monitor inventory levels, predict future inventory needs, and accurately estimate demand for promotional events using historical sales data. nitor implemented configuration driven etl process to transform & enrich the raw data using pyspark & orchestrated through container native argo workflow. the solution combined both data engineering and data science activities to deliver monthly forecasts. this comprehensive approach has empowered the client to enhance budgeting strategies, encompassing aspects like cash flow, marketing, labor, and more, leading to improved planning precision.","python, microsoft azure, forecasting model, data engineering","python, pyspark, kubernetes, microsoft azure blob storage",sn156_antuit.ai_case study_retail forecasting platform�.pptx
157,isv,optima,"a leading provider of cloud-based clinical, operational and billing solutions ",healthcare,product engineering,integration with epic ehr through web api development ,"the business need revolved around seamless data exchange of patients between multiple electronic health record (ehr) systems used by large hospitals (epic ehr) and home health agencies (organization's ehr). nitor developed a customized web api and exposed with the epic ehr for data integration. through this integration, nitor was able to integrate the patient�s adt information effectively to epic ehr. the solution helped the client to provide a better quality of care to their patients who were moving from large hospitals to home health agencies","web api, ehr, data integration, c# windows application","soap services (acting as interface for epic, wcf services (internal data manipulation), c# windows application (used for configuring services)",sn157_optima_case study_integration with epic ehr through web api development.pptx
158,isv,optima,"a leading provider of cloud-based clinical, operational and billing solutions ",healthcare,product engineering,telehealth integration with ehr through web api,"the client sought a swift implementation of a telehealth solution to serve two key functions: nurse training and remote monitoring of non-critical home health and hospice patients. this necessitated either integrating the telehealth infrastructure with the existing ehr system or building a telehealth solution within the hospice application. post brainstorming various approaches for implementing infrastructure, nitor built a telehealth feature in the existing application and a separate application explicitly for telehealth implementation followed by integration of both applications.","ehr, data integration, react, react native, rest apis","react, react native, rest apis, aws chime, aws lambdas ",sn158_optima_case study_telehealth integration with ehr through web api.pptx
